iter	Passed	Remaining
134	3409	9217
135	3454	9245
136	3494	9258
137	3525	9248
138	3583	9308
139	3618	9305
140	3652	9298
141	3675	9265
142	3703	9245
143	3730	9222
144	3752	9186
145	3772	9148
146	3793	9108
147	3815	9073
148	3846	9060
149	3896	9092
150	3950	9130
151	3992	9140
152	4036	9155
153	4055	9112
154	4078	9077
155	4099	9040
156	4125	9012
157	4148	8978
158	4167	8938
159	4189	8902
160	4210	8866
161	4232	8830
162	4254	8795
163	4278	8765
164	4298	8727
165	4319	8691
166	4341	8656
167	4361	8619
168	4383	8585
169	4405	8551
170	4427	8518
171	4449	8485
172	4471	8451
173	4492	8417
174	4505	8367
175	4523	8327
176	4543	8291
177	4562	8253
178	4583	8219
179	4619	8212
180	4662	8217
181	4726	8258
182	4764	8252
183	4787	8222
184	4810	8191
185	4832	8158
186	4853	8124
187	4872	8085
188	4891	8048
189	4911	8013
190	4931	7978
191	4951	7943
192	4972	7909
193	4991	7873
194	5011	7838
195	5064	7855
196	5112	7863
197	5161	7873
198	5199	7864
199	5221	7831
200	5244	7801
201	5266	7769
202	5289	7738
203	5312	7708
204	5333	7675
205	5361	7651
206	5388	7627
207	5415	7602
208	5437	7570
209	5466	7549
210	5492	7522
211	5518	7496
212	5541	7466
213	5559	7429
214	5578	7395
215	5593	7353
216	5613	7320
217	5642	7299
218	5661	7264
219	5683	7233
220	5704	7201
221	5723	7167
222	5742	7132
223	5774	7114
224	5826	7121
225	5877	7125
226	5918	7117
227	5939	7086
228	5960	7053
229	5981	7021
230	6002	6989
231	6023	6958
232	6047	6929
233	6065	6894
234	6083	6860
235	6100	6824
236	6119	6790
237	6137	6756
238	6158	6725
239	6180	6695
240	6223	6688
241	6278	6694
242	6322	6687
243	6368	6682
244	6413	6675
245	6435	6644
246	6459	6616
247	6481	6586
248	6502	6555
249	6522	6522
250	6537	6485
251	6553	6449
252	6570	6414
253	6586	6379
254	6602	6343
255	6620	6309
256	6642	6280
257	6665	6252
258	6691	6226
259	6714	6198
260	6739	6171
261	6762	6143
262	6784	6113
263	6803	6082
264	6820	6048
265	6835	6013
266	6852	5980
267	6871	5948
268	6889	5916
269	6908	5885
270	6940	5864
271	6991	5860
272	7039	5853
273	7079	5839
274	7097	5806
275	7112	5772
276	7131	5741
277	7150	5709
278	7171	5680
279	7190	5649
280	7208	5618
281	7227	5587
282	7247	5557
283	7268	5528
284	7286	5497
285	7302	5464
286	7318	5431
287	7332	5397
288	7347	5364
289	7363	5332
290	7380	5300
291	7404	5274
292	7438	5255
293	7458	5225
294	7509	5218
295	7556	5207
296	7595	5191
297	7616	5162
298	7638	5135
299	7666	5110
300	7689	5084
301	7711	5056
302	7731	5027
303	7747	4995
304	7765	4964
305	7781	4933
306	7799	4903
307	7818	4874
308	7838	4845
309	7859	4817
310	7879	4788
311	7899	4760
312	7921	4732
313	7943	4705
314	7964	4677
315	7982	4648
316	8002	4619
317	8021	4590
318	8037	4560
319	8052	4529
320	8071	4500
321	8104	4479
322	8143	4462
323	8200	4454
324	8250	4442
325	8273	4415
326	8295	4388
327	8315	4360
328	8333	4331
329	8352	4302
330	8372	4274
331	8388	4244
332	8405	4215
333	8422	4186
334	8442	4158
335	8457	4127
336	8475	4099
337	8495	4071
338	8518	4045
339	8544	4020
340	8581	4001
341	8618	3981
342	8666	3967
343	8717	3953
344	8740	3926
345	8774	3905
346	8793	3877
347	8812	3849
348	8830	3820
349	8852	3793
350	8873	3767
351	8897	3740
352	8921	3715
353	8946	3689
354	8969	3663
355	8990	3636
356	9008	3608
357	9026	3580
358	9043	3552
359	9061	3523
360	9082	3497
361	9102	3470
362	9125	3444
363	9148	3418
364	9171	3392
365	9200	3368
366	9228	3344
367	9254	3319
368	9306	3303
369	9364	3290
370	9419	3275
371	9443	3249
372	9475	3226
373	9512	3204
374	9537	3179
375	9557	3152
376	9576	3124
377	9596	3097
378	9615	3069
379	9635	3042
380	9654	3015
381	9672	2987
382	9692	2960
383	9711	2933
384	9731	2906
385	9748	2879
386	9768	2852
387	9786	2825
388	9807	2798
389	9830	2772
390	9858	2748
391	9889	2724
392	9915	2699
393	9941	2674
394	9960	2647
395	9980	2621
396	10001	2594
397	10024	2569
398	10048	2543
399	10074	2518
400	10096	2492
401	10115	2465
402	10134	2439
403	10154	2412
404	10174	2386
405	10194	2360
406	10217	2334
407	10236	2308
408	10255	2281
409	10274	2255
410	10293	2228
411	10312	2202
412	10331	2176
413	10351	2150
414	10370	2124
415	10390	2098
416	10409	2071
417	10441	2048
418	10494	2028
419	10537	2007
420	10556	1980
421	10575	1954
422	10597	1929
423	10616	1903
424	10638	1877
425	10661	1852
426	10682	1826
427	10701	1800
428	10720	1774
429	10739	1748
430	10757	1722
431	10773	1695
432	10791	1669
433	10810	1643
434	10829	1618
435	10851	1592
436	10870	1567
437	10890	1541
438	10910	1515
439	10930	1490
440	10948	1464
441	10969	1439
442	10989	1414
443	11011	1388
444	11032	1363
445	11050	1337
446	11069	1312
447	11087	1286
448	11105	1261
449	11124	1236
450	11143	1210
451	11163	1185
452	11183	1160
453	11205	1135
454	11228	1110
455	11251	1085
456	11270	1060
457	11289	1035
458	11309	1010
459	11328	985
460	11348	960
461	11367	935
462	11386	909
463	11405	884
464	11425	859
465	11445	835
466	11464	810
467	11482	785
468	11502	760
469	11520	735
470	11541	710
471	11563	685
472	11588	661
473	11613	637
474	11638	612
475	11661	587
476	11682	563
477	11700	538
478	11720	513
479	11739	489
480	11758	464
481	11778	439
482	11797	415
483	11817	390
484	11837	366
485	11858	341
486	11879	317
487	11900	292
488	11920	268
489	11937	243
490	11956	219
491	11973	194
492	11992	170
493	12008	145
494	12027	121
495	12049	97
496	12080	72
497	12107	48
498	12134	24
499	12159	0
