iter	Logloss
381	0.5335522035
382	0.5335422491
383	0.5335329074
384	0.5335068659
385	0.5334776171
386	0.5334666488
387	0.5334500503
388	0.5334216166
389	0.5333999221
390	0.5333787645
391	0.5333607175
392	0.5333239936
393	0.5333089123
394	0.5333025501
395	0.533277184
396	0.5332652903
397	0.5332431774
398	0.5332174699
399	0.5331725702
400	0.5331514432
401	0.5331351194
402	0.5331183799
403	0.53310458
404	0.5330746434
405	0.5330473916
406	0.5330234292
407	0.5330029294
408	0.5329693116
409	0.5329516303
410	0.5329320724
411	0.5329053005
412	0.5328898669
413	0.5328569904
414	0.5328373365
415	0.5328156152
416	0.5327906366
417	0.5327708572
418	0.5327537794
419	0.5327323004
420	0.5327036302
421	0.5326774485
422	0.5326575267
423	0.5326372216
424	0.5326282149
425	0.5325966004
426	0.532586957
427	0.5325568835
428	0.5325404887
429	0.5325319374
430	0.5325245953
431	0.5325037843
432	0.5324955282
433	0.5324814966
434	0.5324495734
435	0.5324262677
436	0.5323979811
437	0.5323771467
438	0.5323482267
439	0.532330606
440	0.5323235498
441	0.5322948669
442	0.5322757102
443	0.5322598838
444	0.5322452032
445	0.5322361967
446	0.53220768
447	0.5321885244
448	0.5321767371
449	0.532149074
450	0.5321291229
451	0.532098009
452	0.5320726537
453	0.5320543912
454	0.5320449156
455	0.5320183511
456	0.531985564
457	0.5319672924
458	0.5319531583
459	0.531936505
460	0.5319166426
461	0.5318880739
462	0.5318739836
463	0.5318571831
464	0.5318398928
465	0.5318266854
466	0.5318032928
467	0.531793479
468	0.5317730634
469	0.5317629607
470	0.5317545173
471	0.5317392753
472	0.5317326245
473	0.5317169986
474	0.5317052571
475	0.5316856462
476	0.5316500411
477	0.5316328649
478	0.531608547
479	0.5316005091
480	0.5315833882
481	0.5315701484
482	0.5315321635
483	0.5315141382
484	0.5314795187
485	0.5314397813
486	0.5314164782
487	0.5313946988
488	0.531369784
489	0.5313534485
490	0.53134704
491	0.5313297099
492	0.5313207576
493	0.531300201
494	0.5312815696
495	0.5312699166
496	0.5312543503
497	0.5312286494
498	0.5312068627
499	0.5311763824
