iter	Logloss
0	0.6794584392
1	0.6670026034
2	0.6558578186
3	0.645652753
4	0.6365523773
5	0.6284158213
6	0.6212390334
7	0.6146470168
8	0.6088178407
9	0.6034487343
10	0.5985257633
11	0.5942660999
12	0.5904797054
13	0.5871396106
14	0.5837467148
15	0.5808415663
16	0.5782165326
17	0.5757778169
18	0.5734350907
19	0.571450022
20	0.5696885498
21	0.5679707245
22	0.566238291
23	0.5646775659
24	0.5632939745
25	0.5620422429
26	0.5609122852
27	0.5597803103
28	0.5588090332
29	0.5579696644
30	0.5570894317
31	0.5562007473
32	0.555446498
33	0.554797472
34	0.5543334413
35	0.5537092041
36	0.5531177536
37	0.552583364
38	0.5520705475
39	0.5515990218
40	0.5511456098
41	0.5507289577
42	0.5503878034
43	0.5499922458
44	0.5496493266
45	0.5492630022
46	0.5489337767
47	0.548577627
48	0.5482751421
49	0.5479586198
50	0.5476812223
51	0.5474588433
52	0.5472331936
53	0.546954218
54	0.5466924752
55	0.5465095436
56	0.546305878
57	0.5460909959
58	0.5459298794
59	0.545752865
60	0.5455577544
61	0.5453638669
62	0.5451994715
63	0.5450344445
64	0.5448632327
65	0.5446988396
66	0.54454242
67	0.5444308348
68	0.5442901578
69	0.5441702659
70	0.5440478558
71	0.5439224601
72	0.543813853
73	0.5436961205
74	0.5435766864
75	0.5434726357
76	0.5433865567
77	0.5432904966
78	0.5432252765
79	0.5431555486
80	0.5430871574
81	0.5430285112
82	0.542956811
83	0.5428597462
84	0.5427725174
85	0.5426950649
86	0.5426262417
87	0.5425210155
88	0.5424343263
89	0.5423635823
90	0.5422959775
91	0.5422511342
92	0.5421661833
93	0.5421009317
94	0.542006755
95	0.5419308569
96	0.5418755364
97	0.5418028703
98	0.541744505
99	0.5416858153
100	0.5416039527
101	0.5415615819
102	0.5415084077
103	0.5414649291
104	0.5414059704
105	0.541362711
106	0.5413017864
107	0.541229612
108	0.5411647563
109	0.5411260674
110	0.5410756161
111	0.5410229192
112	0.5409621833
113	0.540924884
114	0.5408622462
115	0.5408211707
116	0.5407756329
117	0.5407192695
118	0.5406765304
119	0.5406349411
120	0.540587361
121	0.5405316744
122	0.5404979486
123	0.5404484975
124	0.5404006035
125	0.5403604134
126	0.5403266071
127	0.5402836494
128	0.5402383114
129	0.5402138874
130	0.5401657216
131	0.5401391842
132	0.5401127796
133	0.5400961894
134	0.5400474297
135	0.5400152602
136	0.5400135041
137	0.5400125031
138	0.5399874303
139	0.5399504765
140	0.5399213344
141	0.539885604
142	0.5398475843
143	0.539795049
144	0.5397627992
145	0.5397168529
146	0.5396926611
147	0.5396631263
148	0.5396193028
149	0.539608597
150	0.5395871431
151	0.5395493522
152	0.5394979589
153	0.5394835493
154	0.5394606044
155	0.5394201185
156	0.5393934786
157	0.5393608046
158	0.5393559607
159	0.5393190005
160	0.5392942474
161	0.5392591977
162	0.5392391089
163	0.5392069906
164	0.5391763101
165	0.5391453199
166	0.5391223139
167	0.5390920218
168	0.5390590869
169	0.5390347019
170	0.5390027192
171	0.5389759424
172	0.538944458
173	0.5389168669
174	0.5389117175
175	0.5388742398
176	0.538841833
177	0.5388057373
178	0.5387739496
179	0.5387372987
180	0.5387077421
181	0.5386728404
182	0.5386331471
183	0.5386007506
184	0.5385827543
185	0.5385557351
186	0.5385328142
187	0.538513249
188	0.538482868
189	0.5384492446
190	0.53841506
191	0.5383971829
192	0.5383570676
193	0.5383342012
194	0.5383203931
195	0.5383064791
196	0.5382823267
197	0.5382538753
198	0.538236774
199	0.5382226435
200	0.5381893451
201	0.5381619576
202	0.5381350714
203	0.5381127993
204	0.5380930016
205	0.538068764
206	0.5380328777
207	0.5379995659
208	0.5379957738
209	0.5379714075
210	0.5379513022
211	0.5379213478
212	0.5378908556
213	0.5378573602
214	0.5378258796
215	0.5378253112
216	0.5378061814
217	0.5377793311
218	0.5377429675
219	0.537720021
220	0.5376855373
221	0.5376766023
222	0.5376500567
223	0.5376092123
224	0.5375833482
225	0.5375510074
226	0.5375340073
227	0.5374972595
228	0.5374661943
229	0.5374414373
230	0.5374171993
231	0.5373962103
232	0.5373617953
233	0.5373437407
234	0.5373212634
235	0.537301901
236	0.5372844382
237	0.5372651804
238	0.5372471057
239	0.5372271127
240	0.5372005004
241	0.5371699909
242	0.537153148
243	0.5371216308
244	0.5370995121
245	0.5370732899
246	0.5370558715
247	0.5370240869
248	0.5369892865
249	0.5369620672
250	0.53694183
251	0.5369245395
252	0.5368818686
253	0.5368682469
254	0.536838229
255	0.5368078561
256	0.5367701174
257	0.536732492
258	0.5366885259
259	0.5366696988
260	0.5366393575
261	0.5366248941
262	0.5365742816
263	0.5365277015
264	0.5364875721
265	0.536470574
266	0.5364394207
267	0.536411273
268	0.5363818066
269	0.5363547547
270	0.5363301145
271	0.5362936436
272	0.5362692651
273	0.536244553
274	0.5362015795
275	0.5361733286
276	0.536138016
277	0.5360964962
278	0.5360719965
279	0.5360479456
280	0.5360253599
281	0.5359971272
282	0.5359538162
283	0.5359243122
284	0.5358996916
285	0.5358598633
286	0.5358288962
287	0.5358051638
288	0.5357822496
289	0.5357445918
290	0.535716484
291	0.5356835886
292	0.5356598505
293	0.5356314166
294	0.5356067206
295	0.5355879529
296	0.5355649147
297	0.5355412582
298	0.5355221933
299	0.5354911566
300	0.5354574513
301	0.5354279204
302	0.5354071669
303	0.5353800929
304	0.5353448067
305	0.535319522
306	0.535292805
307	0.5352657816
308	0.5352495678
309	0.5352251945
310	0.5352109786
311	0.5351895479
312	0.53516216
313	0.535131922
314	0.5350973811
315	0.5350676818
316	0.5350294975
317	0.5350007322
318	0.5349784705
319	0.5349513255
320	0.534929521
321	0.5349122666
322	0.5349026644
323	0.5348758544
324	0.5348570107
325	0.5348238384
326	0.5347953026
327	0.5347680907
328	0.5347483895
329	0.5347178454
330	0.5346934714
331	0.5346699903
332	0.5346582341
333	0.5346399385
334	0.5346060195
335	0.5345759839
336	0.5345516535
337	0.534513326
338	0.5344869571
339	0.5344578659
340	0.5344288535
341	0.5344036267
342	0.5343770767
343	0.534354776
344	0.5343401215
345	0.5343169425
346	0.5342919801
347	0.5342705201
348	0.5342455703
349	0.5342265946
350	0.5342134739
351	0.5341838308
352	0.5341620874
353	0.5341409275
354	0.5341265928
355	0.5341107518
356	0.5341029467
357	0.5340874559
358	0.5340752959
359	0.5340524179
360	0.5340402467
361	0.5340294865
362	0.5340163885
363	0.534000619
364	0.5339701888
365	0.5339417738
366	0.5339097491
367	0.5338815016
368	0.5338539493
369	0.5338282091
370	0.5338017576
371	0.533794835
372	0.5337660865
373	0.5337411918
374	0.5337068764
375	0.5336898323
376	0.5336635958
377	0.5336462761
378	0.5336331287
379	0.5336104088
380	0.5335805476
